Id,Geography,key,order,value
0400000US13,Georgia,50000 to 74999,8,18
0400000US13,Georgia,100000 to 149999,9,11.3
0400000US13,Georgia,150000 to 199999,10,4.1
0400000US13,Georgia,200000+,11,3.9
0400000US15,Hawaii,Total,1,449296
0400000US15,Hawaii,<10000,2,6
0400000US15,Hawaii,10000 to 14999,3,3.7
0400000US15,Hawaii,15000 to 24999,4,7.6
0400000US15,Hawaii,25000 to 34999,5,7.7
0400000US15,Hawaii,35000 to 49999,6,12
0400000US15,Hawaii,75000 to 99999,7,14
0400000US15,Hawaii,50000 to 74999,8,18.9
0400000US15,Hawaii,100000 to 149999,9,17.4
0400000US15,Hawaii,150000 to 199999,10,6.9
0400000US15,Hawaii,200000+,11,5.8
0400000US16,Idaho,Total,1,583452
0400000US16,Idaho,<10000,2,7.2
0400000US16,Idaho,10000 to 14999,3,5.7
0400000US16,Idaho,15000 to 24999,4,12.3
0400000US16,Idaho,25000 to 34999,5,12.6
0400000US16,Idaho,35000 to 49999,6,16.1
0400000US16,Idaho,75000 to 99999,7,11.6
0400000US16,Idaho,50000 to 74999,8,20.1
0400000US16,Idaho,100000 to 149999,9,9.6
0400000US16,Idaho,150000 to 199999,10,2.7
0400000US16,Idaho,200000+,11,2.2
0400000US17,Illinois,Total,1,4763457
0400000US17,Illinois,<10000,2,7.4
0400000US17,Illinois,10000 to 14999,3,4.8
0400000US17,Illinois,15000 to 24999,4,10.2
0400000US17,Illinois,25000 to 34999,5,9.7
0400000US17,Illinois,35000 to 49999,6,13
0400000US17,Illinois,75000 to 99999,7,12.6
0400000US17,Illinois,50000 to 74999,8,18
0400000US17,Illinois,100000 to 149999,9,13.7
0400000US17,Illinois,150000 to 199999,10,5.2
0400000US17,Illinois,200000+,11,5.3
0400000US18,Indiana,Total,1,2482558
0400000US18,Indiana,<10000,2,7.7
0400000US18,Indiana,10000 to 14999,3,5.7
0400000US18,Indiana,15000 to 24999,4,11.7
0400000US18,Indiana,25000 to 34999,5,11.5
0400000US18,Indiana,35000 to 49999,6,15.4
0400000US18,Indiana,75000 to 99999,7,12.3
0400000US18,Indiana,50000 to 74999,8,19.3
0400000US18,Indiana,100000 to 149999,9,10.9
0400000US18,Indiana,150000 to 199999,10,3
0400000US18,Indiana,200000+,11,2.6
0400000US19,Iowa,Total,1,1227201
0400000US19,Iowa,<10000,2,6.5
0400000US19,Iowa,10000 to 14999,3,5.4
0400000US19,Iowa,15000 to 24999,4,10.7
0400000US19,Iowa,25000 to 34999,5,11
0400000US19,Iowa,35000 to 49999,6,14.8
0400000US19,Iowa,75000 to 99999,7,13.3
0400000US19,Iowa,50000 to 74999,8,20.1
0400000US19,Iowa,100000 to 149999,9,12
0400000US19,Iowa,150000 to 199999,10,3.3
0400000US19,Iowa,200000+,11,2.9
0400000US20,Kansas,Total,1,1109747
0400000US20,Kansas,<10000,2,6.6
0400000US20,Kansas,10000 to 14999,3,5.2
0400000US20,Kansas,15000 to 24999,4,11
0400000US20,Kansas,25000 to 34999,5,11.3
0400000US20,Kansas,35000 to 49999,6,15.1
0400000US20,Kansas,75000 to 99999,7,12.3
0400000US20,Kansas,50000 to 74999,8,19.3
0400000US20,Kansas,100000 to 149999,9,12.1
0400000US20,Kansas,150000 to 199999,10,3.8
0400000US20,Kansas,200000+,11,3.3
0400000US21,Kentucky,Total,1,1693399
0400000US21,Kentucky,<10000,2,10.3
0400000US21,Kentucky,10000 to 14999,3,7.2
0400000US21,Kentucky,15000 to 24999,4,13
0400000US21,Kentucky,25000 to 34999,5,11.5
0400000US21,Kentucky,35000 to 49999,6,14.6
0400000US21,Kentucky,75000 to 99999,7,10.7
0400000US21,Kentucky,50000 to 74999,8,17.7
0400000US21,Kentucky,100000 to 149999,9,9.8
0400000US21,Kentucky,150000 to 199999,10,2.6
0400000US21,Kentucky,200000+,11,2.5
0400000US22,Louisiana,Total,1,1715997
0400000US22,Louisiana,<10000,2,10.4
0400000US22,Louisiana,10000 to 14999,3,7.3
0400000US22,Louisiana,15000 to 24999,4,12.9
0400000US22,Louisiana,25000 to 34999,5,11
0400000US22,Louisiana,35000 to 49999,6,13.3
0400000US22,Louisiana,75000 to 99999,7,10.9
0400000US22,Louisiana,50000 to 74999,8,16.4
0400000US22,Louisiana,100000 to 149999,9,11
0400000US22,Louisiana,150000 to 199999,10,3.6
0400000US22,Louisiana,200000+,11,3.2
0400000US23,Maine,Total,1,552589
0400000US23,Maine,<10000,2,7.2
0400000US23,Maine,10000 to 14999,3,6.6
0400000US23,Maine,15000 to 24999,4,12.2
0400000US23,Maine,25000 to 34999,5,11.9
